ID;Date;User;Tweet;Source;Hashtags;RetweetCount;likeCount;;;;;;
0;2023-03-31 23:59:47+00:00;DominionIsDeath;@ToscaAusten @PunkinDyer She will be #47.  The fraud is insurmountable without election reform. It will not be outvoted. It will not be out harvested. Dominion reigns. No politicians are interested in serious reform.;Twitter for iPad;;4;26;;;;;;
1;2023-03-31 23:59:44+00:00;celesteverdade;"We remember your advice, Jenna:  ""Trump's election fraud cases are only meant to protect future elections, not to reinstate him.""";Twitter Web App;;1;1;;;;;;
2;2023-03-31 23:59:21+00:00;UKELECTION2023;@ConsPost To celebrate what? A deal that costs us all....No thanks. #GeneralElectionNow;Twitter for Android;['GeneralElectionNow'];0;0;;;;;;
3;2023-03-31 23:59:20+00:00;paytonperryts;@CplFlume @clayd10679 @Mikel_Jollett @mtaibbi And ironically most of the documented cases of fraud were Trumpers voting on behalf of dead relatives. I don’t know how many of them tried it, but the fact that they caught a lot of them proves it’s not ea;Twitter for iPad;;0;1;;;;;;
4;2023-03-31 23:59:11+00:00;MissMystique007;@nareshbareth This is nice to calm ourselves but bjp will have a backup plan they will not wanna see modi lose election he's a demigod now for many do he will do anything and everything to win elections. And if Congress falls for any game plans its upto t;Twitter for Android;;0;1;;;;;;
5;2023-03-31 23:58:58+00:00;dc_katherine;Check out Cece Page. The Atlanta Journal-Constitution Peachtree Road Race 2023 T-Shirt Design Voting Contest https://t.co/Lt5ifpdWlN;Twitter for iPhone;;0;0;;;;;;
6;2023-03-31 23:58:49+00:00;LHReddy1;@RBReich What NY is prosecuting is not even a crime, it's a silly case, it gives Trump free publicity for the next elections. Why doesn't the DOJ prosecute him for much bigger political crimes from insurrection to election interference?;Twitter for Android;;0;3;;;;;;
7;2023-03-31 23:58:43+00:00;Bob_custis;This is giving me 2016 elections and Russian interference. This is so sad and disgusting. After so many Presidential elections this election is the one where this has happened. I truly do pray for whoever gets elected because they’re going to need the help.;Twitter for iPhone;;0;0;;;;;;
8;2023-03-31 23:58:18+00:00;TrafficWise;I-465 SB: Two left lanes blocked due to a new road construction layout from Sam Jones Expway to US 31;;;;;;;;;;
9;2023-03-31 23:57:19+00:00;excelentspirit;@Neyopompey90 @basit02 @waleslimm @KadunaResident why is it an issue now some Igbos didn’t vote Tinubu?;;;;;;;;;;
Nigerians voted across party line.;;;;;;;;;;;;;
Why are you targeting Igbos?;;;;;;;;;;;;;
Are there no Yoruba in PDP; LP &amp;;;;;;;;;;;;
In previous elections did Yoruba vote Dim Odimegwu Ojukwu Ikemba (May His brave soul continue to rest in peace &amp;;;;;;;;;;;;;
10;2023-03-31 23:57:19+00:00;shecomms;@Fieldmarshalldo @Olalekanakogun This 2023 election is the most credible election this country ever had. The BVAS was the game changer. This won't stop the  wailers, though.;Twitter for Android;;0;0;;;;;;
11;2023-03-31 23:57:11+00:00;BlueTideRolling;Ok folks, we're in the final stretch in the Wisconsin Supreme Court election. Don't believe the polls or anything in the news. Janet Protasiewicz can win the seat if Dems all get out and vote Blue. ;;;;;;;;;;
Vote Tuesday; April 4;2023;;;;;;;;;;;
#VoteBlue for all offices;;;;;;;;;;;;;
12;2023-03-31 23:56:40+00:00;CBRfabrics;RAMADAN SALES!!!;;;;;;;;;;
;;;;;;;;;;;;;
Shop high quality fabrics ;;;;;;;;;;;;;
💥Free Delivery Within Nigeria;;;;;;;;;;;;;
💥Kindly purchase #25;000 worth of  fabrics;;;;;;;;;;;;
💥10th to 15th April 2023;;;;;;;;;;;;;
;;;;;;;;;;;;;
Whatsapp: +2348129438981;;;;;;;;;;;;;
;;;;;;;;;;;;;
Worldwide delivery ✈️🚛;;;;;;;;;;;;;
;;;;;;;;;;;;;
"#CBRfabrics #fabricsinlagos  #ramadan2023 #ramadansales #Italy #opay https://t.co/Ian9QERHQn""";Twitter for Android;['CBRfabrics', 'fabricsinlagos', 'ramadan2023', 'ramadansales', 'Italy', 'opay'];0;0;;;;;;;;;
13;2023-03-31 23:56:36+00:00;Lauderdale4M;@smashbaals Gay Mirage legalized by an illegitimate Scotus 6-26-15;;;;;;;;;;
Bruce became Caitlyn Jenner; a trans;;;;;;;;;;;;
C Jenner given courage award by BSPN;;;;;;;;;;;;;
Fakebook has 56 genders;;;;;;;;;;;;;
Trump wins election 2016;;;;;;;;;;;;;
Non binary on TV;;;;;;;;;;;;;
Covid; clot shots;;;;;;;;;;;;
Biden steals election 2020;;;;;;;;;;;;;
Trump indicted;;;;;;;;;;;;;
Tyranny...2023;;;;;;;;;;;;;
"7 years""";Twitter for Android;;0;0;;;;;;;;;
